Date,Taux
2024-01-01,1.10558
2024-01-02,1.10387
2024-01-03,1.09418
2024-01-04,1.09278
2024-01-05,1.09474
2024-01-08,1.09422
2024-01-09,1.09517
2024-01-10,1.09324
2024-01-11,1.09751
2024-01-12,1.09816
2024-01-15,1.09457
2024-01-16,1.09457
2024-01-17,1.08788
2024-01-18,1.08858
2024-01-19,1.08791
2024-01-22,1.08923
2024-01-23,1.08802
2024-01-24,1.08579
2024-01-25,1.08817
2024-01-26,1.0847
2024-01-29,1.08435
2024-01-30,1.08345
2024-01-31,1.08434
2024-02-01,1.08039
2024-02-02,1.08746
2024-02-05,1.078
2024-02-06,1.07418
2024-02-07,1.07572
2024-02-08,1.07757
2024-02-09,1.07773
2024-02-12,1.07982
2024-02-13,1.07723
2024-02-14,1.07089
2024-02-15,1.07321
2024-02-16,1.07739
2024-02-19,1.07849
2024-02-20,1.07754
2024-02-21,1.08131
2024-02-22,1.08204
2024-02-23,1.08257
2024-02-26,1.08201
2024-02-27,1.08509
2024-02-28,1.08448
2024-02-29,1.08388
2024-03-01,1.0805
2024-03-04,1.08427
2024-03-05,1.08552
2024-03-06,1.0856
2024-03-07,1.08995
2024-03-08,1.09501
2024-03-11,1.0943
2024-03-12,1.09314
2024-03-13,1.09278
2024-03-14,1.09553
2024-03-15,1.08834
2024-03-18,1.08826
2024-03-19,1.08739
2024-03-20,1.08633
2024-03-21,1.09372
2024-03-22,1.08624
2024-03-25,1.08075
2024-03-26,1.08382
2024-03-27,1.08324
2024-03-28,1.08134
2024-03-29,1.07945
2024-04-01,1.07927
2024-04-02,1.07372
2024-04-03,1.07686
2024-04-04,1.08383
2024-04-05,1.08371
2024-04-08,1.08305
2024-04-09,1.08637
2024-04-10,1.08593
2024-04-11,1.07417
2024-04-12,1.07269
2024-04-15,1.06496
2024-04-16,1.06257
2024-04-17,1.06215
2024-04-18,1.06694
2024-04-19,1.06442
2024-04-22,1.06583
2024-04-23,1.06541
2024-04-24,1.07043
2024-04-25,1.06999
2024-04-26,1.07296
2024-04-29,1.07069
2024-04-30,1.07157
2024-05-01,1.06666
2024-05-02,1.07216
2024-05-03,1.07331
2024-05-06,1.07581
2024-05-07,1.07675
2024-05-08,1.07505
2024-05-09,1.07469
2024-05-10,1.07852
2024-05-13,1.07704
2024-05-14,1.07935
2024-05-15,1.08146
2024-05-16,1.08898
2024-05-17,1.08678
2024-05-20,1.08755
2024-05-21,1.08608
2024-05-22,1.08552
2024-05-23,1.08252
2024-05-24,1.08127
2024-05-27,1.08476
2024-05-28,1.08619
2024-05-29,1.08519
2024-05-30,1.08018
2024-05-31,1.08354
2024-06-03,1.0853
2024-06-04,1.09074
2024-06-05,1.08819
2024-06-06,1.08745
2024-06-07,1.08944
2024-06-10,1.07789
2024-06-11,1.07643
2024-06-12,1.07403
2024-06-13,1.08131
2024-06-14,1.07388
2024-06-17,1.07022
2024-06-18,1.07407
2024-06-19,1.07423
2024-06-20,1.07515
2024-06-21,1.07064
2024-06-24,1.06878
2024-06-25,1.07327
2024-06-26,1.07096
2024-06-27,1.06801
2024-06-28,1.07085
2024-07-01,1.07353
2024-07-02,1.07371
2024-07-03,1.07484
2024-07-04,1.07933
2024-07-05,1.08107
2024-07-08,1.0826
2024-07-09,1.0831
2024-07-10,1.08148
