Date,Carburant,Prix
2024-01-01,E10,1.805
2024-01-01,E85,0.958
2024-01-01,GPLc,0.996
2024-01-01,Gazole,1.78
2024-01-01,SP95,1.799
2024-01-01,SP98,1.896
2024-01-02,E10,1.78
2024-01-02,E85,0.944
2024-01-02,GPLc,0.996
2024-01-02,Gazole,1.749
2024-01-02,SP95,1.811
2024-01-02,SP98,1.87
2024-01-03,E10,1.783
2024-01-03,E85,0.94
2024-01-03,GPLc,0.997
2024-01-03,Gazole,1.75
2024-01-03,SP95,1.799
2024-01-03,SP98,1.874
2024-01-04,E10,1.777
2024-01-04,E85,0.937
2024-01-04,GPLc,0.999
2024-01-04,Gazole,1.741
2024-01-04,SP95,1.801
2024-01-04,SP98,1.867
2024-01-05,E10,1.777
2024-01-05,E85,0.931
2024-01-05,GPLc,0.999
2024-01-05,Gazole,1.737
2024-01-05,SP95,1.799
2024-01-05,SP98,1.867
2024-01-06,E10,1.782
2024-01-06,E85,0.932
2024-01-06,GPLc,1.003
2024-01-06,Gazole,1.744
2024-01-06,SP95,1.793
2024-01-06,SP98,1.873
2024-01-07,E10,1.791
2024-01-07,E85,0.938
2024-01-07,GPLc,0.995
2024-01-07,Gazole,1.758
2024-01-07,SP95,1.797
2024-01-07,SP98,1.881
2024-01-08,E10,1.782
2024-01-08,E85,0.931
2024-01-08,GPLc,1.0
2024-01-08,Gazole,1.745
2024-01-08,SP95,1.801
2024-01-08,SP98,1.872
2024-01-09,E10,1.783
2024-01-09,E85,0.931
2024-01-09,GPLc,1.0
2024-01-09,Gazole,1.742
2024-01-09,SP95,1.803
2024-01-09,SP98,1.872
2024-01-10,E10,1.78
2024-01-10,E85,0.931
2024-01-10,GPLc,1.003
2024-01-10,Gazole,1.742
2024-01-10,SP95,1.794
2024-01-10,SP98,1.869
2024-01-11,E10,1.781
2024-01-11,E85,0.922
2024-01-11,GPLc,1.001
2024-01-11,Gazole,1.744
2024-01-11,SP95,1.802
2024-01-11,SP98,1.872
2024-01-12,E10,1.78
2024-01-12,E85,0.919
2024-01-12,GPLc,0.997
2024-01-12,Gazole,1.742
2024-01-12,SP95,1.801
2024-01-12,SP98,1.871
2024-01-13,E10,1.793
2024-01-13,E85,0.918
2024-01-13,GPLc,1.001
2024-01-13,Gazole,1.758
2024-01-13,SP95,1.8
2024-01-13,SP98,1.886
2024-01-14,E10,1.799
2024-01-14,E85,0.92
2024-01-14,GPLc,0.995
2024-01-14,Gazole,1.766
2024-01-14,SP95,1.795
2024-01-14,SP98,1.891
2024-01-15,E10,1.783
2024-01-15,E85,0.919
2024-01-15,GPLc,0.997
2024-01-15,Gazole,1.75
2024-01-15,SP95,1.802
2024-01-15,SP98,1.875
2024-01-16,E10,1.79
2024-01-16,E85,0.921
2024-01-16,GPLc,1.003
2024-01-16,Gazole,1.757
2024-01-16,SP95,1.804
2024-01-16,SP98,1.881
2024-01-17,E10,1.794
2024-01-17,E85,0.919
2024-01-17,GPLc,1.003
2024-01-17,Gazole,1.76
2024-01-17,SP95,1.809
2024-01-17,SP98,1.885
2024-01-18,E10,1.789
2024-01-18,E85,0.919
2024-01-18,GPLc,1.005
2024-01-18,Gazole,1.756
2024-01-18,SP95,1.81
2024-01-18,SP98,1.88
2024-01-19,E10,1.791
2024-01-19,E85,0.919
2024-01-19,GPLc,1.003
2024-01-19,Gazole,1.758
2024-01-19,SP95,1.811
